|2025-03-25 18:44:24  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-25 18:44:24  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-03-25 18:44:27  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-25 18:44:27  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 18:44:27  |   VCBMaintenanceController.List  |   조회된 데이터: 1건   |
|2025-03-25 18:46:27  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 18:46:27  |   VCBMaintenanceController.List  |   조회된 데이터: 1건   |
|2025-03-25 18:46:27  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-25 18:47:06  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-25 18:47:06  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 18:47:06  |   VCBMaintenanceController.List  |   조회된 데이터: 1건   |
|2025-03-25 18:49:44  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 18:49:44  |   VCBMaintenanceController.List  |   조회된 데이터: 1건   |
|2025-03-25 18:49:48  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-25 18:52:26  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-25 18:52:26  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 18:52:26  |   VCBMaintenanceController.List  |   조회된 데이터: 1건   |
|2025-03-25 18:52:26  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 18:52:26  |   VCBMaintenanceController.List  |   조회된 데이터: 1건   |
