|2026-07-13 17:54:45  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2026-07-13 17:55:03  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2026-07-13 17:55:03  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-07-13 17:55:03  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-13 17:55:03  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2026-07-13 17:55:04  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-07-13 17:55:04  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-13 17:55:05  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2026-07-13 17:55:05  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-07-13 17:55:05  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-13 17:55:05  |   VCBGojangController.List  |   조회된 데이터: 0건   |
|2026-07-13 17:55:06  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2026-07-13 17:55:06  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-07-13 17:55:06  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-13 17:55:06  |   VCBMaintenanceController.List  |   조회된 데이터: 0건   |
|2026-07-13 18:11:12  |   SPAREBasicController.List  |   GetSPAREListData 실행   |
|2026-07-13 18:11:12  |   DB(TB_SPARE_PART)  |   GetAllSPAREBasicInfoRepo 성공   |
|2026-07-13 18:11:14  |   SPAREBasicController.List  |   GetSPAREListData 실행   |
|2026-07-13 18:11:14  |   DB(TB_SPARE_PART)  |   GetAllSPAREBasicInfoRepo 성공   |
|2026-07-13 18:11:33  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2026-07-13 18:11:33  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-07-13 18:11:33  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-13 18:11:33  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2026-07-13 18:27:50  |   ITRBasicController.List  |   GetITRListData 실행   |
|2026-07-13 18:27:50  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.ITRBasicInfo]   |
|2026-07-13 18:27:50  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2026-07-13 18:27:50  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2026-07-13 18:27:52  |   SUBMODULEBasicController.List  |   GetSUBMODULEListData 실행   |
|2026-07-13 18:27:52  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.SUBMODULEBasicInfo]   |
|2026-07-13 18:27:52  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2026-07-13 18:27:52  |   SUBMODULEBasicController.List  |   SUBMODULE 데이터 로드 성공   |
