|2025-09-04 15:07:44  |   SUBMODULEChkController.List  |   조회된 데이터: 0건   |
|2025-09-04 15:07:44  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[Web.Common.SUBMODULEBasicInfo]   |
|2025-09-04 15:07:44  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2025-09-04 15:07:44  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-09-04 15:07:46  |   SUBMODULEChkAdd  |   [CreateSUBMODULEChkRepo] Success=True, Message=SUBMODULE_CHK 등록 성공   |
|2025-09-04 15:07:46  |   SUBMODULEChkAdd  |   [UpdateRiskMatrixHI] code=SUBMODULE001, hi=1, baseCof=19798.975686637, pof%=0.0000, adjustedCof=0, ok=False   |
|2025-09-04 15:07:53  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:07:53  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:12:03  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-09-04 15:12:03  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:12:03  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:12:03  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-09-04 15:12:05  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-09-04 15:12:05  |   vcbCode 조회 :   |   VCB001   |
|2025-09-04 15:12:05  |   VCBChkController.List  |   조회된 데이터: 3건   |
|2025-09-04 15:12:08  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:12:08  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:12:08  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-09-04 15:12:14  |   VCBChkAdd  |   [CreateVCBChkRepo] Success=True, Message=VCB_CHK 등록 성공   |
