|2025-07-11 09:15:41  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:15:41  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:15:43  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-07-11 09:15:43  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:15:43  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:15:43  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-07-11 09:15:44  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:15:44  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:15:44  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:15:44  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:15:46  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:15:46  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:15:46  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:15:46  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:15:50  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:15:50  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:15:50  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:15:50  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:15:54  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:15:54  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:15:54  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:15:54  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:15:56  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-07-11 09:15:56  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:15:56  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:15:56  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-07-11 09:15:59  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:15:59  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:15:59  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:15:59  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:16:03  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:16:03  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:16:03  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:16:03  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:16:05  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:16:05  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:16:05  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:16:05  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:16:07  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:16:07  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:16:07  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:16:07  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:16:09  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:16:09  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:16:09  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:16:09  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:16:26  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:16:26  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:16:26  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:16:26  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:16:28  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:16:28  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:16:28  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:16:28  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:16:29  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:16:29  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:16:31  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:16:31  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:16:33  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:16:33  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:16:34  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:16:34  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:16:35  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:16:35  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:16:36  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:16:36  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:16:37  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:16:37  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:16:38  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-07-11 09:16:38  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:16:38  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:16:38  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-07-11 09:16:39  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:16:39  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:16:40  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:16:40  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:16:40  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:16:40  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:16:41  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:16:41  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:16:41  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:16:41  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:17:21  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:17:21  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:17:21  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:17:21  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:17:26  |   zigzagtrBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-11 09:17:26  |   DB(ZIGZAGTR_BASICINFO)  |   GetAllZIGZAGTRBasicInfoRepo 동작 성공   |
|2025-07-11 09:17:27  |   zigzagtrBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-11 09:17:27  |   DB(ZIGZAGTR_BASICINFO)  |   GetAllZIGZAGTRBasicInfoRepo 동작 성공   |
|2025-07-11 09:17:33  |   zigzagtrBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-11 09:17:33  |   DB(ZIGZAGTR_BASICINFO)  |   GetAllZIGZAGTRBasicInfoRepo 동작 성공   |
|2025-07-11 09:17:33  |   zigzagtrBasicInfo Data  |   총 1 건 조회됨   |
|2025-07-11 09:17:33  |   DB(ZIGZAGTR_BASICINFO)  |   GetAllZIGZAGTRBasicInfoRepo 동작 성공   |
|2025-07-11 09:18:02  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-07-11 09:18:02  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:18:02  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:18:02  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-07-11 09:18:04  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-07-11 09:18:04  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:18:04  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:18:04  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-07-11 09:18:05  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:18:05  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:18:05  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:18:05  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:18:07  |   SUBMODULEBasicController.List  |   GetSUBMODULEListData 실행   |
|2025-07-11 09:18:07  |   submoduleBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.SUBMODULEBasicInfo]   |
|2025-07-11 09:18:07  |   DB(SUBMODULE_BASICINFO  |   GetAllSUBMODULEBasicInfoRepo 동작 성공   |
|2025-07-11 09:18:07  |   SUBMODULEBasicController.List  |   SUBMODULE 데이터 로드 성공   |
|2025-07-11 09:18:09  |   DCCBBasicController.List  |   GetDCCBListData 실행   |
|2025-07-11 09:18:09  |   dccbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.DCCBBasicInfo]   |
|2025-07-11 09:18:09  |   DB(DCCB_BASICINFO  |   GetAllDCCBBasicInfoRepo 동작 성공   |
