|2025-03-04 11:13:39  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-04 11:13:39  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-04 11:13:39  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-04 11:13:39  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-04 11:13:45  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-03-04 11:13:45  |   vcbCode 조회 :   |   V001   |
|2025-03-04 11:13:45  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2025-03-04 11:13:45  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-04 11:13:45  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-04 11:13:45  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-04 11:13:45  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-04 11:13:46  |   VCBFHController.cs  |   GetVCBFHByVCBCode 실행   |
|2025-03-04 11:13:46  |   VCBFHController.cs  |   조회된 데이터가 없습니다.   |
|2025-03-04 11:13:47  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-03-04 11:13:47  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-03-04 11:13:47  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-04 11:13:47  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-03-04 11:13:49  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-03-04 11:13:49  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-03-04 11:13:49  |   DB(INTERFACETR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-03-04 11:13:49  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-03-04 11:13:57  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-03-04 11:13:57  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-03-04 11:13:57  |   DB(INTERFACETR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-03-04 11:13:57  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
