|2025-02-18 13:42:29  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 13:42:29  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 13:42:30  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:42:30  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:42:31  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 13:43:02  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 13:43:02  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 13:43:02  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 13:43:02  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 13:43:04  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:43:04  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:43:05  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 13:47:15  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 13:47:15  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 13:47:15  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 13:47:15  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 13:49:00  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 13:49:00  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 13:49:01  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 14:12:02  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 14:12:02  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 14:12:02  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 14:12:02  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 14:22:52  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 14:22:52  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 14:33:34  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 14:33:34  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 14:33:34  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 14:33:34  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 14:33:35  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 14:33:35  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 14:33:37  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 14:34:37  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 14:34:37  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 14:34:37  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 14:34:37  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 14:34:38  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 14:34:38  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 14:34:39  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
