|2025-03-26 14:10:54  |   VCBGojangController.List  |   조회된 데이터: 3건   |
|2025-03-26 14:10:54  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-26 14:18:59  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-26 14:18:59  |   VCBGojangController.List  |   조회된 데이터: 3건   |
|2025-03-26 14:18:59  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-26 14:20:18  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-26 14:20:18  |   VCBMaintenanceController.List  |   조회된 데이터: 1건   |
|2025-03-26 14:20:18  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-26 14:20:19  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-26 14:20:19  |   VCBGojangController.List  |   조회된 데이터: 3건   |
|2025-03-26 14:21:06  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-26 14:21:06  |   VCBGojangController.List  |   조회된 데이터: 3건   |
|2025-03-26 14:21:07  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-26 14:22:00  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-26 14:22:00  |   VCBGojangController.List  |   조회된 데이터: 3건   |
|2025-03-26 14:22:00  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-26 14:33:37  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-26 14:33:37  |   VCBGojangController.List  |   조회된 데이터: 3건   |
|2025-03-26 14:33:37  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-26 14:33:42  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-26 14:33:42  |   VCBGojangController.List  |   조회된 데이터: 3건   |
|2025-03-26 15:39:46  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-26 15:40:15  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-26 15:53:50  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-26 16:20:27  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-26 16:21:13  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-26 16:38:12  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-26 16:38:12  |   VCBGojangController.List  |   조회된 데이터: 3건   |
|2025-03-26 16:38:19  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-26 16:38:19  |   VCBGojangController.List  |   조회된 데이터: 3건   |
|2025-03-26 16:38:32  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-26 16:38:32  |   VCBMaintenanceController.List  |   조회된 데이터: 1건   |
|2025-03-26 16:48:22  |   TotalInfoController  |   GetGojangList Error: null 참조에 대해 런타임 바인딩을 수행할 수 없습니다.   |
